501
-5	7	-5	8
-5	6	-5	7
-5	5	-5	6
-5	4	-5	5
-5	3	-5	4
-5	2	-5	3
-5	1	-5	2
-5	0	-5	1
-5	-1	-5	0
-5	-2	-5	-1
-5	-3	-5	-2
-5	-4	-5	-3
-5	-5	-5	-4
-5	-6	-5	-5
-5	-7	-5	-6
-5	-8	-5	-7
-5	-9	-5	-8
-5	-10	-5	-9
-4	-10	-5	-10
-3	-10	-4	-10
-2	-10	-3	-10
-1	-10	-2	-10
0	-10	-1	-10
1	-10	0	-10
2	-10	1	-10
3	-10	2	-10
4	-10	3	-10
5	-10	4	-10
5	-9	5	-10
5	-8	5	-9
5	-7	5	-8
5	-6	5	-7
5	-5	5	-6
5	-4	5	-5
5	-3	5	-4
5	-2	5	-3
5	-1	5	-2
5	0	5	-1
5	1	5	0
5	2	5	1
5	3	5	2
5	4	5	3
5	5	5	4
5	6	5	5
5	7	5	6
5	8	5	7
5	9	5	8
5	10	5	9
4	10	5	10
3	10	4	10
2	10	3	10
1	10	2	10
0	10	1	10
-1	10	0	10
-2	10	-1	10
-3	10	-2	10
-4	10	-3	10
-5	10	-4	10
-5	9	-5	10
-5	8	-5	9
-1.05569	-9.19852	-0.79072	-9.33683
-1.29697	-9.02212	-1.05569	-9.19852
-1.50919	-8.81168	-1.29697	-9.02212
-1.68783	-8.5721	-1.50919	-8.81168
-1.82895	-8.30865	-1.68783	-8.5721
-1.92916	-8.02706	-1.82895	-8.30865
-1.9861	-7.73364	-1.92916	-8.02706
-1.99857	-7.43501	-1.9861	-7.73364
-1.9664	-7.1379	-1.99857	-7.43501
-1.89039	-6.84889	-1.9664	-7.1379
-1.77223	-6.57442	-1.89039	-6.84889
-1.61452	-6.32059	-1.77223	-6.57442
-1.4208	-6.09304	-1.61452	-6.32059
-1.19551	-5.89664	-1.4208	-6.09304
-0.942979	-5.73677	-1.19551	-5.89664
-0.669607	-5.61604	-0.942979	-5.73677
-0.381329	-5.53732	-0.669607	-5.61604
-0.084548	-5.50241	-0.381329	-5.53732
0.214132	-5.51204	-0.084548	-5.50241
0.508075	-5.566	0.214132	-5.51204
0.79072	-5.66317	0.508075	-5.566
1.05569	-5.80148	0.79072	-5.66317
1.29697	-5.97788	1.05569	-5.80148
1.50919	-6.18832	1.29697	-5.97788
1.68783	-6.4279	1.50919	-6.18832
1.82895	-6.69135	1.68783	-6.4279
1.92916	-6.97294	1.82895	-6.69135
1.9861	-7.26636	1.92916	-6.97294
1.99857	-7.56499	1.9861	-7.26636
1.9664	-7.8621	1.99857	-7.56499
1.89039	-8.15111	1.9664	-7.8621
1.77223	-8.42558	1.89039	-8.15111
1.61452	-8.67941	1.77223	-8.42558
1.4208	-8.90696	1.61452	-8.67941
1.19551	-9.10336	1.4208	-8.90696
0.942979	-9.26323	1.19551	-9.10336
0.669607	-9.38396	0.942979	-9.26323
0.381329	-9.46268	0.669607	-9.38396
0.084548	-9.49759	0.381329	-9.46268
-0.214132	-9.48796	0.084548	-9.49759
-0.508075	-9.434	-0.214132	-9.48796
-0.79072	-9.33683	-0.508075	-9.434
-0.158505	5.61829	-2.39097	4.94302
1.29697	-5.97788	2.02254	-4.57463
-3.42788	-7.25765	-2.42797	-6.72073
0.238535	-9.68699	0.381329	-9.46268
5	-9	4	-10
1.82895	-6.69135	2.29976	-6.59208
0.102665	-9.89782	0.238535	-9.68699
-5	2	-4.14019	1.82016
-1	-10	-1.05569	-9.19852
2.27538	1.80204	-0.606197	0.251396
3.65493	0.495142	3.62733	-0.630963
3.8458	7.9471	5	8
1.93682	6.58906	2.33808	8.51489
1.49201	-9.08955	1.3202	-9.25197
-4.14019	1.82016	-4.27019	0.51143
-1.92916	-8.02706	-3.42788	-7.25765
2.02578	-8.75561	1.49201	-9.08955
-3	10	-0.857767	5.62887
-5	2	-4.27019	0.51143
5	-1	3.62733	-0.630963
2.33808	8.51489	2.9339	8.45489
2.78353	3.31878	3.03861	2.88113
3.59267	-3.41414	2.02254	-4.57463
3.64344	1.53574	3.27683	2.49735
0.547644	5.1859	0.07877	2.97434
5	5	3.64066	5.81176
2.24878	5.16668	1.93682	6.58906
-2.42797	-6.72073	-1.77223	-6.57442
-3.60313	-0.784688	-3.63694	-1.60435
3.27683	2.49735	2.27538	1.80204
-1.7148	-8.69851	-1.82895	-8.30865
4.28262	0.574137	5	0
3	-10	3.21485	-9.6898
4.23045	-1.07536	3.62733	-0.630963
1.86471	-3.88863	3.59267	-3.41414
2.78353	3.31878	3.24113	4.40214
2.24878	5.16668	0.07877	2.97434
-1	-10	-0.476154	-9.68108
-0.158505	5.61829	2.24878	5.16668
0.669607	-9.38396	0.525988	-9.51368
-1.7148	-8.69851	-2.42287	-9.17721
-0.000483	-9.54011	-0.214132	-9.48796
-1.21328	-9.45735	-1.05569	-9.19852
-2.33147	-6.12412	-3.52835	-4.57205
-4.27836	3.06684	-5	2
5	1	4.28632	1.50594
-1.05569	-9.19852	-1.23862	-9.39871
2.534	4.08148	2.78353	3.31878
-1.50919	-8.81168	-1.3046	-9.16121
2.27055	-1.59796	2.60067	-2.99746
-0.158505	5.61829	0.547644	5.1859
-2.96393	-3.83998	-2.69314	-4.19007
-1.06165	-3.0661	-1.86479	-3.35914
1.16188	-9.18895	1.19551	-9.10336
-0.523608	-9.61724	-0.79072	-9.33683
5	-7	1.92916	-6.97294
-3.10501	5.87306	-2.39097	4.94302
3.64066	5.81176	3.8458	7.9471
-3.53412	-3.78246	-3.57984	-2.76353
1.36219	-2.89048	2.60067	-2.99746
-3.10501	5.87306	-0.857767	5.62887
1.36219	-2.89048	2.27055	-1.59796
-1.7148	-8.69851	-1.50919	-8.81168
-0.523608	-9.61724	-0.495208	-9.52083
-4.27019	0.51143	-5	1
-3.42788	-7.25765	-1.9861	-7.73364
2.02254	-4.57463	2.21621	-5.45621
3.20062	7.53039	3.8458	7.9471
2	10	2.33808	8.51489
-3.57984	-2.76353	-1.86479	-3.35914
-3.63694	-1.60435	-0.959867	-0.270863
-1.22991	-9.35342	-2	-10
4	-10	3.29223	-9.33411
5	0	3.62733	-0.630963
0.032856	-9.57975	-0.476154	-9.68108
0.032856	-9.57975	0	-10
-2.86073	2.38334	-4.27019	0.51143
2.534	4.08148	2.24878	5.16668
-3.47942	-6.09041	-5	-5
-0.971071	-9.3579	-0.79072	-9.33683
1.68783	-6.4279	2.29976	-6.59208
2.45655	-6.73083	3.04111	-5.12495
1.29697	-5.97788	2.29522	-5.93052
-1.7148	-8.69851	-1.68783	-8.5721
1.02693	-2.9558	1.36219	-2.89048
5	-8	3.29223	-9.33411
-4.3105	4.19042	-2.39097	4.94302
3.64344	1.53574	4.28262	0.574137
-1.05569	-9.19852	-1.3046	-9.16121
5	-7	2.45655	-6.73083
0.015398	-9.56014	0.032856	-9.57975
-2.42797	-6.72073	-2.33147	-6.12412
-0.476154	-9.68108	0	-10
-3.47942	-6.09041	-2.42797	-6.72073
1.77223	-8.42558	5	-8
2.534	4.08148	0.07877	2.97434
3.8458	7.9471	5	7
0.084548	-9.49759	0.09529	-9.6201
-2.42287	-9.17721	-2	-10
-2.96393	-3.83998	-1.86479	-3.35914
-4.27836	3.06684	-2.6519	3.61119
-4.23298	-3.87285	-5	-3
-2.69314	-4.19007	-1.86479	-3.35914
0.143551	-9.64123	0.084548	-9.49759
0.525988	-9.51368	0.381329	-9.46268
2.60067	-2.99746	3.07565	-2.96754
3.27683	2.49735	4.28632	1.50594
-3.42788	-7.25765	-5	-7
-1	-10	-1.21328	-9.45735
-2.73187	-7.82591	-3	-10
1.93682	6.58906	1	10
2.45655	-6.73083	5	-6
